,plate,class,fiberid,mjd,redshift,ra,dec,sdss_name,h_beta_flux,h_alpha_flux,oii_3726_flux,oii_3729_flux,oiii_4363_flux,oiii_4959_flux,oiii_5007_flux,sii_6717_flux,sii_6731_flux,nii_6548_flux,nii_6584_flux,rate_SII,rate_OII,rate_OIII,rate_NII
82,273,GALAXY,588,51957,0.06565025,158.72739,0.56530539,1237654670813167683,56.59843,208.7833,62.06826,74.96666,2.834746,13.28179,24.59781,40.58221,27.16836,21.50249,64.85646,1.493730574830428,0.8279448490835792,8.677253623428696,3.016230213338083
83,273,GALAXY,591,51957,0.06561427,158.91274,0.055790715,1237654670276362362,95.14761,344.0451,128.036,120.3064,0.4611526,29.03391,85.52386,71.57579,54.21348,28.65136,86.41913,1.320258171952806,1.06424928349614,185.45674468711658,3.016231341199859
84,273,GALAXY,599,51957,0.06610333,158.73286,0.35781554,1237648721758323068,26.61689,93.15994,7.657917,15.89795,1.987831,4.048216,8.840582,14.43823,10.12632,13.01455,39.25488,1.4258121410344529,0.48169210495692844,4.447350906591153,3.016230296091682
85,273,GALAXY,601,51957,0.06949529,158.83497,0.71803955,1237648722295193789,14.97117,47.00861,18.71048,21.61382,0.7251811,12.00983,18.48831,10.85331,11.31953,4.873633,14.7,0.9588127775623193,0.8656720561196494,25.49474882894769,3.0162303973237212
86,273,GALAXY,614,51957,0.1061746,158.84231,0.80426883,1237648722295193797,10.79757,107.4792,18.39155,7.903222,3.410893,2.733753,1.07129,22.65478,12.98397,18.60634,56.12103,1.744826890388687,2.327095202437689,0.31407904029824446,3.0162315640797708
87,273,GALAXY,619,51957,0.05588527,158.76571,0.64730266,1237648722295193750,58.12099,213.4709,59.81784,65.3018,2.882898,6.327479,33.34902,50.01495,37.41979,21.88274,66.0034,1.3365908787836596,0.916021304160069,11.567880653425824,3.016231056988293
88,273,GALAXY,625,51957,0.04977495,159.25735,0.48551886,1237654670813364340,177.6415,515.6193,299.6035,354.5439,5.480788,135.2718,412.9894,88.98168,61.70388,15.29133,46.12219,1.442075927802271,0.8450392179924686,75.35219388160972,3.0162314200269043
89,273,GALAXY,626,51957,0.09537528,159.22231,0.30687081,1237648721758519422,63.44038,238.4608,72.7346,58.16369,1.829299,9.118612,30.13617,50.04446,36.13102,25.79549,77.80515,1.3850829564180585,1.250515570796832,16.474163053716204,3.0162307442114877
90,273,GALAXY,635,51957,0.0948553,158.99699,0.19524891,1237654670276427944,13.04333,48.45965,8.762744,0.4758453,9.995152,11.48482,3.678887,6.659545,4.489589,7.7057,23.24217,1.4833306567705864,18.415110961482647,0.3680671389489625,3.016230842103897
91,273,GALAXY,636,51957,0.08251377,159.31578,0.080528787,1237654670276559082,164.4361,794.9053,112.6646,69.58319,9.537411,12.02531,38.76844,111.1268,99.11031,142.4932,429.7924,1.1212435921146853,1.619135311272737,4.064880919989712,3.0162309499681386
